ID	Q_1	Q_2	Q_3	Q_4	Q_5	Q_6	Q_7	Q_8	Q_9	Q_10	Q_11	Q_12
20134308	3	3	2	3	2	4	3	3	4	4	2	3
20132229	2	4	2	2	4	2	5	5	2	4	3	5
20102203	1	2	2	3	4	4	5	4	3	5	1	4
20131726	3	2	2	3	4	4	4	4	4	4	2	4
NA	4	4	3	2	3	3	2	2	4	2	4	2
20144337	4	4	2	3	3	3	5	5	5	4	2	4
20144340	3	3	2	3	3	3	4	5	5	3	2	4
20103317	3	3	3	3	1	3	5	5	4	3	1	3
20103319	2	2	1	3	1	1	5	5	3	3	1	4
20103306	1	1	1	2	3	2	2	2	4	4	2	3
20143243	3	3	2	2	3	2	4	5	2	4	2	4
20132582	4	4	3	3	2	4	5	2	4	3	2	4
20102808	2	5	5	4	4	2	4	2	4	4	3	2
20091701	3	3	4	1	2	4	5	5	1	2	4	2
20111239	5	3	4	2	3	3	5	2	2	1	1	4
20142535	3	4	2	5	3	5	5	5	4	3	2	3
20132527	4	5	5	1	1	4	4	1	1	3	3	1
20134339	2	5	3	3	5	4	3	2	2	3	3	4
20142508	2	4	3	2	3	4	5	3	1	3	2	5
20142551	2	3	4	4	4	2	5	3	3	4	4	1
20102952	3	1	2	3	3	3	4	3	1	4	4	5
20123120	4	4	4	4	3	4	3	4	5	4	3	4
20126282	4	5	3	4	5	3	4	2	3	5	4	4
20143607	4	4	4	2	3	1	5	4	3	2	2	3
20131123	2	3	5	4	3	4	4	5	5	4	1	4
20113105	2	4	3	2	4	2	4	4	3	4	2	4
20113103	3	3	4	3	4	4	2	4	3	5	3	4
20113151	2	4	3	5	2	4	3	4	5	1	4	4
20113123	2	1	1	4	2	2	3	5	5	4	2	4
20101722	2	3	4	2	4	2	2	1	3	4	4	2
20114157	3	2	2	5	3	3	5	5	4	3	3	4
20131709	3	4	2	4	3	2	5	3	2	4	2	3
20143167	3	4	2	3	3	4	4	3	3	3	3	4
20122150	3	5	3	4	4	4	3	2	3	4	3	5
20144347	4	4	3	3	2	3	4	4	4	2	2	3
20144338	3	2	2	3	3	3	4	3	2	3	2	4
20128009	3	4	3	4	3	4	3	1	4	4	2	4
20122121	4	5	4	3	4	3	4	2	2	5	4	5
20143230	4	5	4	3	4	3	3	1	2	4	3	5
20143134	4	4	4	4	3	4	5	4	2	3	1	4
20121123	2	4	4	3	1	2	4	5	2	3	1	4
20143131	3	4	2	1	2	4	5	2	2	1	2	5
20112633	4	5	4	5	3	5	5	1	4	3	3	5
20143121	4	4	3	2	3	4	4	5	2	3	4	5
20112579	4	4	3	5	4	3	3	4	1	5	4	5
20102908	3	4	2	3	1	4	4	3	4	2	3	2
20102903	5	4	3	4	2	3	3	2	2	3	3	3
20132808	5	5	2	3	2	3	5	5	2	4	2	4
20142538	4	5	3	3	4	5	4	1	2	5	4	5
20131121	3	5	5	3	4	3	4	5	2	5	2	5
20142505	2	4	3	3	3	3	5	4	5	3	2	4
20122218	2	3	2	3	2	3	4	4	3	4	2	3
20133161	4	4	1	4	3	3	5	3	3	3	2	4
20122216	4	4	3	3	3	4	2	3	2	4	3	4
20132613	4	3	5	4	5	4	4	3	4	1	2	2
20143229	5	4	2	4	2	3	5	5	2	2	2	5
20102806	3	2	2	4	3	3	4	4	5	3	2	4
20102829	5	4	2	5	3	5	5	3	4	3	4	5
20081519	4	4	3	3	3	4	4	2	4	3	2	5
20092850	3	4	1	5	1	2	5	5	5	1	3	2
20142236	2	4	3	2	2	3	4	4	4	4	2	4
20142897	5	5	2	5	2	3	2	4	3	3	3	4
20121133	2	4	4	4	3	3	5	4	4	3	2	4
20122609	2	5	3	3	2	2	4	2	1	5	1	4
20143221	4	4	2	4	4	4	4	5	2	4	2	4
