ID	Q_1	Q_2	Q_3	Q_4	Q_5	Q_6	Q_7	Q_8	Q_9	Q_10	Q_11	Q_12	Q_13	Q_14	Q_15	Q_16	Q_17	Q_18	Q_19	Q_20	Q_21	Q_22	Q_23	Q_24	Q_25	Q_26	Q_27	Q_28	Q_29	Q_30	Q_31	Q_32	Q_33	Q_34	Q_35	Q_36	Q_37	Q_38	Q_39	Q_40	Q_41	Q_42	Q_43	Q_44	Q_45	Q_46	Q_47	Q_48	Q_49	Q_50	Q_51	Q_52	Q_53	Q_54	Q_55	Q_56
20122150	4	3	2	4	3	4	5	3	2	3	4	3	3	3	4	3	3	4	4	3	1	5	4	3	1	4	3	4	3	4	4	2	3	5	3	5	3	4	3	1	3	1	4	4	3	4	4	3	2	3	4	4	3	2	4	3
20132229	1	2	2	4	3	5	3	1	1	4	1	2	5	3	4	4	2	1	4	3	2	5	5	1	1	1	3	4	4	4	3	3	1	2	2	4	4	5	3	1	1	2	3	2	4	3	2	1	1	2	3	1	1	2	2	3
20112944	4	2	5	4	4	3	2	1	2	4	5	4	3	5	4	1	1	1	5	3	1	1	2	5	1	1	4	5	3	1	3	3	3	4	5	4	5	3	1	1	1	1	5	5	3	4	5	5	3	3	4	4	5	4	5	5
20102203	3	5	1	1	2	3	2	2	3	2	1	1	4	2	3	2	3	1	2	1	1	1	1	1	1	1	1	1	2	4	2	2	2	2	2	1	1	4	1	2	1	3	3	1	1	3	3	1	1	1	1	2	2	1	1	1
20143167	2	4	4	3	3	3	4	2	2	5	3	4	3	3	4	2	2	3	4	3	1	3	4	3	2	4	3	4	3	3	4	3	3	4	2	4	3	2	3	1	3	3	4	4	3	4	3	3	2	3	3	3	4	3	4	4
20122121	5	3	4	2	4	4	5	1	5	2	2	1	5	5	3	3	5	1	5	2	5	4	5	1	5	1	5	3	5	3	4	2	5	2	1	2	5	3	4	1	5	3	4	3	5	5	4	1	5	2	4	3	5	1	5	4
20143230	4	5	4	3	4	5	3	2	2	5	4	4	4	3	4	3	3	4	4	3	1	3	5	3	3	5	3	3	3	5	4	4	4	3	3	3	3	5	2	1	2	5	4	4	2	4	3	3	3	5	4	3	4	4	3	3
20121123	4	2	2	2	3	4	3	1	2	3	2	2	4	3	4	2	2	1	4	3	4	4	4	2	1	1	3	3	3	4	3	2	2	1	1	2	5	4	2	1	2	1	2	2	5	4	3	1	1	1	3	2	4	3	3	2
20143121	5	2	2	5	5	5	3	1	4	5	3	3	5	4	4	5	5	3	5	5	3	2	1	3	3	4	3	4	5	4	3	4	3	2	3	5	4	4	2	1	4	3	5	5	5	4	3	2	3	4	4	1	4	3	5	4
20143134	5	2	3	5	4	4	4	1	5	4	3	2	5	5	3	2	3	3	3	3	3	4	5	3	4	3	4	5	5	4	4	3	4	5	3	5	5	4	4	1	4	1	5	5	4	5	3	1	4	3	4	2	4	3	2	4
