Color	Q1	Q2_1	Q2_2	Q2_3	Q2_4	Q2_5	Q2_6	Q3	Q4_1	Q4_2	Q4_3	Q4_4	Q4_5	Q4_6	Q5_1	Q5_2	Q5_3	Q5_4	Q5_5	Q6_1	Q6_2	Q6_4
Curitiba	3	3	4	3	4	3	3	3	4	4	2	2	2	2	1	2	2	3	4	2	1	2
Curitiba	2	5	5	5	5	5	5	3	5	3	4	4	5	2	4	5	4	4	5	2	2	1
Curitiba	3	4	4	3	4	4	5	NA	3	4	4	4	3	2	3	4	4	4	4	1	2	3
Curitiba	4	3	4	2	4	4	4	3	5	4	2	3	5	2	5	5	4	5	4	1	1	2
Curitiba	4	4	5	3	3	5	5	5	4	3	3	3	4	3	2	3	4	4	4	2	1	1
Curitiba	3	3	4	4	4	4	3	4	3	3	2	3	4	2	3	3	3	4	4	2	1	3
Curitiba	3	4	4	3	5	4	5	3	4	3	2	2	2	2	2	2	2	3	3	1	1	2
Curitiba	3	5	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	5	5	2	1	1
Curitiba	2	5	4	3	5	4	5	3	4	2	3	3	3	3	3	3	3	3	3	1	1	2
Curitiba	1	4	5	4	5	4	4	2	3	2	5	4	4	3	2	4	3	5	3	1	2	2
Curitiba	2	5	5	3	4	4	4	3	4	3	1	2	3	3	3	3	4	5	1	1	1	1
Curitiba	3	4	3	4	5	4	4	4	4	3	3	3	3	3	2	4	3	4	5	1	2	2
Curitiba	3	4	4	4	4	4	4	3	4	3	4	3	4	2	4	4	3	4	3	2	2	1
Curitiba	3	5	5	5	4	5	5	4	5	4	3	3	4	3	4	4	4	4	4	2	2	1
Curitiba	3	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	1	1	1
Curitiba	4	4	4	4	5	5	4	2	3	2	2	2	2	3	2	3	1	2	4	1	1	4
Curitiba	4	3	4	5	5	5	3	3	5	3	2	1	2	4	2	4	4	5	5	2	1	2
Curitiba	3	4	4	3	5	4	5	3	4	2	3	3	3	2	4	2	3	4	4	1	1	1
Curitiba	3	4	3	4	4	4	5	3	5	3	3	3	4	3	3	3	3	5	3	1	2	2
Curitiba	2	4	4	4	4	5	4	3	4	3	3	3	4	2	2	3	3	4	4	2	2	1
Curitiba	4	3	4	5	4	5	4	5	4	4	2	2	3	4	4	3	4	4	4	1	2	1
Curitiba	2	3	4	4	5	5	4	3	4	4	3	3	3	3	4	4	4	5	5	2	2	1
Curitiba	2	3	4	3	5	3	4	3	5	4	2	2	2	2	3	4	5	5	5	2	1	1
Curitiba	4	5	3	4	5	4	3	2	5	4	4	4	4	4	2	3	2	4	4	1	2	1
Curitiba	3	4	4	3	3	3	4	3	4	3	3	3	4	4	4	4	3	3	3	1	2	2
Curitiba	4	4	5	3	5	5	2	1	2	2	4	4	5	2	1	4	2	3	5	1	1	1
Curitiba	4	5	5	5	5	5	5	3	5	3	5	NA	1	1	2	3	5	4	5	2	2	1
Curitiba	3	4	5	4	4	4	4	4	5	3	3	3	4	3	3	4	3	4	5	2	1	1
Curitiba	4	5	5	4	3	4	5	3	5	2	2	3	1	4	3	4	4	5	4	1	1	2
Curitiba	4	4	4	3	3	4	4	2	4	3	3	3	2	2	3	2	4	3	4	2	2	1
Veja	4	4	4	3	3	4	4	3	3	3	3	3	4	4	4	4	4	4	4	2	2	2
Veja	3	3	3	3	4	3	4	3	2	3	3	3	4	3	2	3	3	3	4	1	2	2
Veja	3	4	4	4	4	4	4	3	2	2	3	4	3	3	2	3	2	4	5	1	1	1
Veja	3	4	4	4	4	4	3	3	4	2	2	3	3	2	2	1	3	3	3	2	1	2
Veja	4	4	4	3	4	3	3	4	4	3	4	4	4	3	4	4	4	4	3	2	2	3
Veja	3	4	4	3	4	3	4	4	4	4	4	4	4	3	4	4	4	4	3	2	1	2
Veja	3	3	4	4	4	4	5	3	2	2	5	3	2	4	5	4	3	2	4	1	2	1
Veja	3	4	4	3	4	5	4	2	4	4	4	4	3	3	4	3	5	4	2	1	1	2
Veja	4	4	4	4	5	4	4	4	4	3	2	3	4	3	3	2	2	3	4	1	2	2
Veja	2	4	3	3	4	3	4	2	4	1	3	3	2	2	4	5	3	5	5	1	1	3
Veja	3	3	4	3	8	4	4	3	3	2	2	2	3	1	3	4	3	5	3	1	2	3
Veja	3	5	4	5	4	5	5	3	3	3	4	5	4	3	3	2	2	4	3	1	1	3
Veja	2	5	5	5	3	5	3	4	4	3	5	5	3	3	4	3	4	4	3	1	2	1
Veja	4	5	4	4	4	5	4	4	4	5	4	5	4	4	4	4	5	4	4	1	1	3
Veja	3	3	4	3	5	5	4	2	4	1	3	2	4	5	5	5	4	2	2	1	2	2
Veja	4	5	4	4	4	5	5	4	3	3	4	4	5	4	3	5	5	4	5	1	1	1
Veja	3	5	3	4	5	5	5	5	4	3	5	5	4	5	5	5	5	5	2	2	2	1
Veja	4	5	4	4	3	4	3	NA	4	3	4	3	3	4	4	5	3	5	5	2	2	4
Veja	3	4	4	4	4	4	5	4	3	4	5	4	3	3	4	4	3	4	5	2	1	2
Veja	4	4	3	3	4	5	5	4	5	2	3	4	3	4	4	4	3	5	5	2	1	1
Veja	5	5	3	3	5	5	4	3	3	4	3	4	3	4	2	4	3	4	2	2	1	2
Veja	4	5	4	4	4	4	3	4	3	3	3	3	3	3	2	3	2	3	4	1	2	1
Veja	3	3	4	4	5	3	3	4	4	3	4	4	4	5	4	4	4	4	3	1	1	2
Veja	3	5	5	4	5	5	5	4	4	3	4	4	4	4	3	5	5	5	3	1	1	2
Veja	2	4	4	3	4	4	5	3	4	4	3	3	3	2	4	4	4	4	5	2	1	2
Veja	3	4	4	4	4	4	5	4	5	3	4	4	5	4	1	3	4	4	5	2	2	3
Veja	5	4	4	4	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	1	1	1
Veja	4	4	4	4	5	5	4	4	4	4	3	3	3	5	5	3	5	5	3	1	1	1

